Incident Date,State,City Or County,Address,# Killed,# Injured
2018-06-23,Illinois,Chicago,100 block of East 51st St,1,4
2018-06-23,Kansas,Wichita,1403 Harding  St,0,4
2018-06-24,North Carolina,Sanford,109 S Steele St,1,6
2018-06-24,Florida,Punta Gorda,2450 Harbour Dr,0,4
2018-06-24,Ohio,Sandusky,1504 Milan Rd,0,5
2018-06-24,Florida,Palm Beach Gardens (Riviera Beach),1200 block of W 35th St,1,3
2018-06-24,Florida,Indiantown,17068 SW Palm Beach St,0,4
2018-06-24,Indiana,Gary,2500 block of Harrison Street,1,3
2018-06-25,Illinois,Chicago,3900 block of S Vincennes Ave,0,6
2018-06-27,Connecticut,Hartford,124 Hillside Ave,0,4
2018-06-27,Texas,San Antonio,100 block of Holly Street,0,4
2018-06-27,California,Oakland,8901 MacArthur Boulevard,1,3
2018-06-28,Maryland,Annapolis,888 Bestgate Rd,5,0
2018-06-30,New Jersey,Jersey City,Lexington Ave and John F Kennedy Blvd,0,5
2018-06-30,Maryland,Baltimore,4000 block of Penhurst Ave,0,6
2018-06-30,Georgia,Ashburn,800 Block of W. Washington,1,6
2018-07-01,Illinois,Chicago,3400 block of W Walnut Ave,0,6
2018-07-02,New York,Buffalo,Grape St,2,2
2018-07-03,District of Columbia,Washington,1700 block of Benning Rd NE,0,4
2018-07-03,Missouri,Saint Louis,1700 block of Billups Ave,1,5
2018-07-04,Indiana,Gary,3400 block of Pierce St,1,3
2018-07-04,Georgia,Atlanta,5456 E Fayetteville Rd,1,3
2018-07-05,Virginia,Virginia Beach,1800 block of Atlantic Ave,0,6
2018-07-05,California,Los Angeles,1600 block of W. 2nd Street,3,3
2018-07-05,New York,Albany,First St and Lexington Ave,0,4
2018-07-05,New York,Brooklyn,280 Herkimer St,0,4
2018-07-05,Ohio,Lima,1440 Bellefontaine Ave,1,5
2018-07-07,Alabama,Wetumpka,135 Granite Way,3,2
2018-07-08,Tennessee,Memphis,Mount Moriah Rd and Mendenhall Rd,0,4
2018-07-08,Alabama,Brandon,565 US-80,0,6
2018-07-09,Florida,Orlando,Southland Blvd and Orange Blossom Trail,1,4
2018-07-09,Delaware,Wilmington,2709 Ferris Rd,5,0
2018-07-11,Florida,Reddick,16300 block of NW Gainesville Rd,0,4
2018-07-11,Texas,Houston,9550 Bissonnet St,0,4
2018-07-12,Tennessee,Memphis,3678 Powers Rd,0,5
2018-07-13,Virginia,Richmond,1401 Roseneath Rd,1,3
2018-07-14,Maryland,Fort Washington,9500 block of Fort Foote Rd,0,4
2018-07-15,Colorado,Denver,50th Ave and Grant St,0,4
2018-07-15,Tennessee,Chattanooga,1400 Cowart St,0,5
2018-07-16,Pennsylvania,Philadelphia,2100 block of N 4th St,1,4
